GRATING,-1 0 (cm),0 1 (cm),-1 1 (cm),lambda (nm),,lambda given = 650 nm,,
600 lines per mm,23.6,24.3,48.1,650,,,,0.000715151515151515
,,,,,,L = 55 cm,,
300 lines per mm,-1 0,0 1,,,,,,
,11.1,11,,,,P = 1mW,,
,-2 0,0 2,,,,I = 35,,6.72727272727273E-05
,23.8,23.3,,,,,,
,,,,,,,,
100 lines per mm,-1 0 (mm),0 1 (mm),,,,,,
,3.6,3.6,,,,,,
,-2 0,0 2,,,,,,
,7.3,7.4,,,,,,
,-3 0,0 3,,,,,,
,11.1,11.1,,,,,,
,-4 0,0 4,,,,,,
,15.2,15,,,,,,
,-5 0,0 5,,,,,,
,19.4,19.2,,,,,,
,-6 0,0 6,,,,,,
,24,23.6,,,,,,
,-7 0,0 7,,,,,,
,29,28.6,,,,,,
,-8 0,0 8,,,,,,
,34.6,33.1,,,,,,
,,,,,,,,
Part B,dy,,,,,L = 94.5 cm,,5.065
Mystery n,5.065,,,,,,,
,,,,,,,,
Part C,-1 0 (mm),0 1 (mm),,,,L = 94.5 cm,,
Ronchi,6.35,5.5,,,,,,
m is even (bright spots),-2 0,0 2,,,,,,
m is odd (dim spots),12.68,10.94,,,,,,
,-3 0,0 3,,,,,,
,19.1,16.63,,,,,,
,-4 0,0 4,,,,,,
,24.24,23.38,,,,,,
,-5 0,0 5,,,,,,
,31.13,28.84,,,,,,
,-6 0,0 6,,,,,,
,37.67,35.05,,,,,,
,-7 0,0 7,,,,,,
,43.65,42.06,,,,,,
,-8 0,0 8,,,,,,
,50.01,47.35,,,,,,
,-9 0,0 9,,,,,,
,56.24,53.97,,,,,,
,-10 0,0 10,,,,,,
,62.21,60.2,,,,,,
,-11 0,0 11,,,,,,
,68.79,66.54,,,,,,
,-12 0,0 12,,,,,,
,74.6,72.98,,,,,,
